"","n","lambda","z_test","beta_T","rand_type","model_name","feature","val","test_type","allocation_method"
"147","100","0.01","1","0","post_match_crd_kk_exact","ZE","corr_eq_zero_pval",NA,"Exact","CPM"
"148","100","0.01","1","0","post_match_crd_kk_exact","ZE","pct_only_matches",NA,"Exact","CPM"
"149","100","0.01","1","0","post_match_crd_kk_exact","ZE","pct_only_reservoir",NA,"Exact","CPM"
"150","100","0.01","1","0","post_match_crd_kk_exact","ZE","true_var_prop_diff",NA,"Exact","CPM"
"151","100","0.01","1","0","post_match_crd_kk_lin","ZE","avg_max_std_diff_bal",0.791460671593908,"Linear","CPM"
"152","100","0.01","1","0","post_match_crd_kk_lin","ZE","avg_max_ks_stat",0.166302778281965,"Linear","CPM"
"153","100","0.01","1","0","post_match_crd_kk_lin","ZE","avg_beta_T",-0.0158010130540334,"Linear","CPM"
"154","100","0.01","1","0","post_match_crd_kk_lin","ZE","avg_abs_bias",0.287330184873665,"Linear","CPM"
"155","100","0.01","1","0","post_match_crd_kk_lin","ZE","std_err_beta_T",0.363405379505385,"Linear","CPM"
"156","100","0.01","1","0","post_match_crd_kk_lin","ZE","power",0.0615,"Linear","CPM"
"157","100","0.01","1","0","post_match_crd_kk_lin","ZE","pct_trt_diff",0.03965,"Linear","CPM"
"158","100","0.01","1","0","post_match_crd_kk_lin","ZE","res_end_prop_avg",NA,"Linear","CPM"
"159","100","0.01","1","0","post_match_crd_kk_lin","ZE","ssqr_over_sum",NA,"Linear","CPM"
"160","100","0.01","1","0","post_match_crd_kk_lin","ZE","ssqr_eq_ssqd_pval",NA,"Linear","CPM"
"161","100","0.01","1","0","post_match_crd_kk_lin","ZE","match_corr",NA,"Linear","CPM"
"162","100","0.01","1","0","post_match_crd_kk_lin","ZE","corr_eq_zero_pval",NA,"Linear","CPM"
"163","100","0.01","1","0","post_match_crd_kk_lin","ZE","pct_only_matches",NA,"Linear","CPM"
"164","100","0.01","1","0","post_match_crd_kk_lin","ZE","pct_only_reservoir",NA,"Linear","CPM"
"165","100","0.01","1","0","post_match_crd_kk_lin","ZE","true_var_prop_diff",NA,"Linear","CPM"
"166","100","0.01","1","0","post_match_strat_kk","ZE","avg_max_std_diff_bal",0.395449752238463,"Classic","SPM"
"167","100","0.01","1","0","post_match_strat_kk","ZE","avg_max_ks_stat",0.120867155591616,"Classic","SPM"
"168","100","0.01","1","0","post_match_strat_kk","ZE","avg_beta_T",-0.00593695802904216,"Classic","SPM"
"169","100","0.01","1","0","post_match_strat_kk","ZE","avg_abs_bias",0.275601182059465,"Classic","SPM"
"170","100","0.01","1","0","post_match_strat_kk","ZE","std_err_beta_T",0.347122073234044,"Classic","SPM"
"171","100","0.01","1","0","post_match_strat_kk","ZE","power",0.055,"Classic","SPM"
"172","100","0.01","1","0","post_match_strat_kk","ZE","pct_trt_diff",0.00806000000000001,"Classic","SPM"
"173","100","0.01","1","0","post_match_strat_kk","ZE","res_end_prop_avg",NA,"Classic","SPM"
"174","100","0.01","1","0","post_match_strat_kk","ZE","ssqr_over_sum",NA,"Classic","SPM"
"175","100","0.01","1","0","post_match_strat_kk","ZE","ssqr_eq_ssqd_pval",NA,"Classic","SPM"
"176","100","0.01","1","0","post_match_strat_kk","ZE","match_corr",NA,"Classic","SPM"
"177","100","0.01","1","0","post_match_strat_kk","ZE","corr_eq_zero_pval",NA,"Classic","SPM"
"178","100","0.01","1","0","post_match_strat_kk","ZE","pct_only_matches",NA,"Classic","SPM"
"179","100","0.01","1","0","post_match_strat_kk","ZE","pct_only_reservoir",NA,"Classic","SPM"
"180","100","0.01","1","0","post_match_strat_kk","ZE","true_var_prop_diff",NA,"Classic","SPM"
"181","100","0.01","1","0","post_match_strat_kk_exact","ZE","avg_max_std_diff_bal",0.40133422469299,"Exact","SPM"
"182","100","0.01","1","0","post_match_strat_kk_exact","ZE","avg_max_ks_stat",0.122856069132417,"Exact","SPM"
"183","100","0.01","1","0","post_match_strat_kk_exact","ZE","avg_beta_T",NA,"Exact","SPM"
"184","100","0.01","1","0","post_match_strat_kk_exact","ZE","avg_abs_bias",NA,"Exact","SPM"
"185","100","0.01","1","0","post_match_strat_kk_exact","ZE","std_err_beta_T",NA,"Exact","SPM"
"186","100","0.01","1","0","post_match_strat_kk_exact","ZE","power",0.0395256916996047,"Exact","SPM"
"187","100","0.01","1","0","post_match_strat_kk_exact","ZE","pct_trt_diff",0.00799500000000001,"Exact","SPM"
"188","100","0.01","1","0","post_match_strat_kk_exact","ZE","res_end_prop_avg",NA,"Exact","SPM"
"189","100","0.01","1","0","post_match_strat_kk_exact","ZE","ssqr_over_sum",NA,"Exact","SPM"
"190","100","0.01","1","0","post_match_strat_kk_exact","ZE","ssqr_eq_ssqd_pval",NA,"Exact","SPM"
"191","100","0.01","1","0","post_match_strat_kk_exact","ZE","match_corr",NA,"Exact","SPM"
"192","100","0.01","1","0","post_match_strat_kk_exact","ZE","corr_eq_zero_pval",NA,"Exact","SPM"
"193","100","0.01","1","0","post_match_strat_kk_exact","ZE","pct_only_matches",NA,"Exact","SPM"
"194","100","0.01","1","0","post_match_strat_kk_exact","ZE","pct_only_reservoir",NA,"Exact","SPM"
"195","100","0.01","1","0","post_match_strat_kk_exact","ZE","true_var_prop_diff",NA,"Exact","SPM"
"196","100","0.01","1","0","post_match_strat_kk_lin","ZE","avg_max_std_diff_bal",0.389704675002306,"Linear","SPM"
"197","100","0.01","1","0","post_match_strat_kk_lin","ZE","avg_max_ks_stat",0.121596655325256,"Linear","SPM"
"198","100","0.01","1","0","post_match_strat_kk_lin","ZE","avg_beta_T",0.00463368933999969,"Linear","SPM"
"199","100","0.01","1","0","post_match_strat_kk_lin","ZE","avg_abs_bias",0.27543300749934,"Linear","SPM"
"200","100","0.01","1","0","post_match_strat_kk_lin","ZE","std_err_beta_T",0.344144372972071,"Linear","SPM"
"201","100","0.01","1","0","post_match_strat_kk_lin","ZE","power",0.0525,"Linear","SPM"
"202","100","0.01","1","0","post_match_strat_kk_lin","ZE","pct_trt_diff",0.00780500000000001,"Linear","SPM"
"203","100","0.01","1","0","post_match_strat_kk_lin","ZE","res_end_prop_avg",NA,"Linear","SPM"
"204","100","0.01","1","0","post_match_strat_kk_lin","ZE","ssqr_over_sum",NA,"Linear","SPM"
"205","100","0.01","1","0","post_match_strat_kk_lin","ZE","ssqr_eq_ssqd_pval",NA,"Linear","SPM"
"206","100","0.01","1","0","post_match_strat_kk_lin","ZE","match_corr",NA,"Linear","SPM"
"207","100","0.01","1","0","post_match_strat_kk_lin","ZE","corr_eq_zero_pval",NA,"Linear","SPM"
"208","100","0.01","1","0","post_match_strat_kk_lin","ZE","pct_only_matches",NA,"Linear","SPM"
"209","100","0.01","1","0","post_match_strat_kk_lin","ZE","pct_only_reservoir",NA,"Linear","SPM"
"210","100","0.01","1","0","post_match_strat_kk_lin","ZE","true_var_prop_diff",NA,"Linear","SPM"
"211","100","0.01","1","0","ps_min_exact","ZE","avg_max_std_diff_bal",0.380400858776099,"Exact","M"
"212","100","0.01","1","0","ps_min_exact","ZE","avg_max_ks_stat",0.119326946894142,"Exact","M"
"213","100","0.01","1","0","ps_min_exact","ZE","avg_beta_T",NA,"Exact","M"
"214","100","0.01","1","0","ps_min_exact","ZE","avg_abs_bias",NA,"Exact","M"
